DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2023-1-31,10:46:3.257,0,0.40222588,0.1436521,9.844957,
2023-1-31,10:46:3.449,191,0.38307226,0.10534488,9.835381,
2023-1-31,10:46:3.651,393,0.36391866,0.095768064,9.854534,
2023-1-31,10:46:3.850,592,0.36391866,0.15322891,9.854534,
2023-1-31,10:46:4.48,791,0.37349546,0.10534488,9.864111,
2023-1-31,10:46:4.250,992,0.35434186,0.12449849,9.883265,
2023-1-31,10:46:4.450,1193,0.4213795,0.095768064,9.854534,
2023-1-31,10:46:4.650,1392,0.36391866,0.12449849,9.844957,
2023-1-31,10:46:4.849,1592,0.36391866,0.095768064,9.835381,
2023-1-31,10:46:5.50,1792,0.38307226,0.08619126,9.825804,
2023-1-31,10:46:5.251,1993,0.37349546,0.095768064,9.854534,
2023-1-31,10:46:5.449,2192,0.39264908,0.11492168,9.854534,
2023-1-31,10:46:5.650,2393,0.37349546,0.10534488,9.854534,
2023-1-31,10:46:5.850,2592,-0.20111294,1.9632454,9.911995,
2023-1-31,10:46:6.50,2792,-1.2449849,9.021352,9.77792,
2023-1-31,10:46:6.250,2992,0.34476504,-0.2681506,-1.0247183,
2023-1-31,10:46:6.447,3190,0.18195933,-1.6089035,7.8529816,
2023-1-31,10:46:6.648,3390,-0.06703765,-1.6089035,9.308656,
2023-1-31,10:46:6.850,3592,0.20111294,-0.11492168,9.902418,
2023-1-31,10:46:7.50,3792,0.23942018,-0.095768064,9.825804,
2023-1-31,10:46:7.250,3992,0.22984336,-0.076614454,9.835381,
2023-1-31,10:46:7.452,4194,0.20111294,-0.076614454,9.835381,
2023-1-31,10:46:7.649,4391,0.19153613,-0.076614454,9.844957,
2023-1-31,10:46:7.849,4591,0.2681506,-0.076614454,9.825804,
2023-1-31,10:46:8.50,4792,0.23942018,-0.02873042,9.835381,
2023-1-31,10:46:8.248,4990,0.23942018,-0.047884032,9.77792,
2023-1-31,10:46:8.450,5192,0.19153613,-0.038307227,9.844957,
2023-1-31,10:46:8.651,5393,0.21068975,-0.06703765,9.844957,
