DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2022-12-13,9:24:38.273,0,-4.1142344,9.002209,1.2630161,
2022-12-13,9:24:38.290,17,-3.87289,9.01179,1.0066998,
2022-12-13,9:24:38.313,40,-3.7920425,8.855485,1.0162817,
2022-12-13,9:24:38.331,58,-3.8585172,8.845903,1.1294681,
2022-12-13,9:24:38.351,78,-3.5303366,8.855485,1.0869484,
2022-12-13,9:24:38.372,99,-3.59202,8.807576,0.9402253,
2022-12-13,9:24:38.391,118,-3.9399633,8.855485,0.9498072,
2022-12-13,9:24:38.413,140,-4.263952,8.8123665,1.1342591,
2022-12-13,9:24:38.432,159,-4.3160534,8.860276,1.3474567,
2022-12-13,9:24:38.452,179,-4.1974773,8.708163,1.446869,
2022-12-13,9:24:38.472,199,-4.554404,8.826739,1.3187109,
2022-12-13,9:24:38.497,224,-4.658607,8.950107,1.2576262,
2022-12-13,9:24:38.511,238,-4.5777593,8.855485,1.4372871,
2022-12-13,9:24:38.534,261,-4.5490136,8.793801,1.7025864,
2022-12-13,9:24:38.553,280,-4.3298273,8.798593,1.5888011,
2022-12-13,9:24:38.574,301,-3.972901,8.821949,1.2672081,
2022-12-13,9:24:38.598,325,-4.1154323,8.817158,1.3947674,
2022-12-13,9:24:38.615,342,-4.29689,8.87405,1.6456938,
2022-12-13,9:24:38.633,360,-4.234607,8.831531,2.1804843,
2022-12-13,9:24:38.654,381,-4.601115,8.87405,3.004529,
2022-12-13,9:24:38.673,400,-4.772991,8.888423,3.0422578,
2022-12-13,9:24:38.698,425,-4.4777484,8.732119,2.6116705,
2022-12-13,9:24:38.714,441,-4.4304376,8.627914,2.1523376,
2022-12-13,9:24:38.735,462,-4.239398,8.684808,1.5414904,
2022-12-13,9:24:38.755,482,-3.5489016,8.983045,0.07425983,
2022-12-13,9:24:38.775,502,-3.1728113,9.978965,-2.572145,
2022-12-13,9:24:38.798,525,-1.9391398,10.538908,-4.9484596,
2022-12-13,9:24:38.815,542,-0.33955908,9.438785,-5.1945953,
2022-12-13,9:24:38.835,562,-0.105999924,8.902796,-3.7980313,
2022-12-13,9:24:38.855,582,-0.3964517,8.172175,-0.7162481,
2022-12-13,9:24:38.875,602,-2.4014673,7.7643447,2.881162,
2022-12-13,9:24:38.899,626,-5.167646,8.243441,5.759928,
2022-12-13,9:24:38.915,642,-7.1774526,8.267395,8.069768,
2022-12-13,9:24:38.937,664,-7.605644,8.011079,7.9985027,
2022-12-13,9:24:38.955,682,-6.7055435,8.025452,5.617996,
2022-12-13,9:24:38.977,704,-5.2293296,8.765056,2.1577272,
2022-12-13,9:24:38.999,726,-3.8339634,9.619044,-0.59288096,
2022-12-13,9:24:39.17,744,-1.93375,10.894636,-4.2094545,
2022-12-13,9:24:39.38,765,-0.061683573,11.22162,-6.5761876,
2022-12-13,9:24:39.58,785,-0.65696,9.984355,-6.325261,
2022-12-13,9:24:39.76,803,-1.3241007,8.978852,-3.8872628,
2022-12-13,9:24:39.99,826,-1.0390388,7.9446044,-0.9623835,
2022-12-13,9:24:39.116,844,-2.6392186,7.266684,3.1937718,
2022-12-13,9:24:39.138,865,-6.4492273,7.148108,9.281281,
2022-12-13,9:24:39.158,885,-9.559157,7.346933,12.060037,
2022-12-13,9:24:39.180,907,-9.035146,7.4469438,8.812965,
2022-12-13,9:24:39.197,924,-6.706142,7.5559382,2.7775574,
2022-12-13,9:24:39.218,945,-5.034697,8.442864,0.11677958,
2022-12-13,9:24:39.238,966,-4.1729236,9.898716,-1.5870045,
2022-12-13,9:24:39.259,986,-2.4200323,10.984467,-4.611895,
2022-12-13,9:24:39.280,1007,0.4419658,10.401168,-6.9552717,
2022-12-13,9:24:39.299,1027,0.57072276,9.348355,-6.2450128,
2022-12-13,9:24:39.321,1048,-0.4772991,8.433282,-2.742224,
2022-12-13,9:24:39.339,1067,-1.4199198,7.1672716,0.50005615,
2022-12-13,9:24:39.360,1087,-3.2728226,7.0576787,4.098065,
2022-12-13,9:24:39.380,1107,-6.549238,7.546356,8.036232,
2022-12-13,9:24:39.400,1127,-9.740016,8.044616,10.360445,
2022-12-13,9:24:39.421,1148,-10.073586,8.200921,8.267994,
2022-12-13,9:24:39.441,1168,-8.130254,8.253022,3.8471386,
2022-12-13,9:24:39.461,1188,-5.8635325,9.542988,-0.266497,
2022-12-13,9:24:39.481,1208,-2.6104727,11.036569,-4.299285,
2022-12-13,9:24:39.501,1228,1.3803945,11.164726,-7.5894747,
2022-12-13,9:24:39.522,1249,0.80907285,10.316129,-7.1966166,
2022-12-13,9:24:39.541,1269,-1.1198862,9.547778,-3.9495451,
2022-12-13,9:24:39.562,1289,-0.79110676,8.096718,-0.2994348,
2022-12-13,9:24:39.582,1309,-1.8912303,7.2379384,3.2506645,
2022-12-13,9:24:39.601,1328,-5.291612,7.257102,7.487667,
2022-12-13,9:24:39.622,1349,-8.258412,7.4469438,10.535913,
2022-12-13,9:24:39.642,1369,-8.635101,7.4990454,8.860276,
2022-12-13,9:24:39.664,1391,-7.4110117,7.5319834,4.694539,
