DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2022-12-13,9:25:4.536,0,-4.4430137,8.636898,1.1755811,
2022-12-13,9:25:4.536,0,-4.390912,8.64648,1.2839766,
2022-12-13,9:25:4.538,2,-4.400494,8.665045,1.2749934,
2022-12-13,9:25:4.541,5,-4.400494,8.665045,1.2983494,
2022-12-13,9:25:4.551,15,-4.3957033,8.69379,1.4025527,
2022-12-13,9:25:4.552,16,-4.3525844,8.717745,1.3881798,
2022-12-13,9:25:4.552,16,-4.3382115,8.7129545,1.4121346,
2022-12-13,9:25:4.552,16,-4.3382115,8.73152,1.4073436,
2022-12-13,9:25:4.552,16,-4.3525844,8.817158,1.4402815,
2022-12-13,9:25:4.556,20,-4.305274,8.774638,1.4450724,
2022-12-13,9:25:4.561,25,-4.262155,8.783621,1.4546543,
2022-12-13,9:25:4.561,25,-4.2286186,8.774638,1.4971741,
2022-12-13,9:25:4.563,27,-4.2238274,8.708163,1.4780103,
2022-12-13,9:25:4.567,31,-4.1717257,8.73152,1.5349029,
2022-12-13,9:25:4.569,33,-4.1286073,8.669836,1.5588577,
2022-12-13,9:25:4.571,35,-4.14298,8.674626,1.6013774,
2022-12-13,9:25:4.573,37,-4.1381893,8.708163,1.5870045,
2022-12-13,9:25:4.582,46,-4.1286073,8.69379,1.511547,
2022-12-13,9:25:4.582,46,-4.1860986,8.703372,1.4971741,
2022-12-13,9:25:4.583,47,-4.2573643,8.674626,1.4169255,
2022-12-13,9:25:4.583,47,-4.305274,8.679418,1.3175132,
2022-12-13,9:25:4.585,49,-4.3567767,8.599169,1.3175132,
2022-12-13,9:25:4.587,51,-4.46098,8.599169,1.3270952,
2022-12-13,9:25:4.590,54,-4.542426,8.55126,1.3510499,
2022-12-13,9:25:4.600,64,-4.613692,8.485384,1.2612195,
2022-12-13,9:25:4.600,64,-4.684957,8.46622,1.2186997,
2022-12-13,9:25:4.600,64,-4.742449,8.475802,1.318112,
2022-12-13,9:25:4.601,65,-4.804132,8.433282,1.3366771,
2022-12-13,9:25:4.603,67,-4.870607,8.471011,1.2612195,
2022-12-13,9:25:4.606,70,-4.984991,8.490175,1.2702025,
2022-12-13,9:25:4.616,80,-5.0185275,8.518322,1.2708014,
2022-12-13,9:25:4.616,80,-5.0754204,8.523112,1.3270952,
2022-12-13,9:25:4.617,81,-5.1658497,8.560842,1.3744059,
2022-12-13,9:25:4.617,81,-5.199386,8.565633,1.341468,
2022-12-13,9:25:4.618,82,-5.204177,8.547068,1.2893664,
2022-12-13,9:25:4.622,86,-5.2514877,8.570423,1.2468466,
2022-12-13,9:25:4.624,88,-5.223341,8.584796,1.2468466,
2022-12-13,9:25:4.633,97,-5.270652,8.532695,1.2893664,
2022-12-13,9:25:4.634,98,-5.2419057,8.499158,1.3935696,
2022-12-13,9:25:4.634,98,-5.21855,8.461429,1.4786091,
2022-12-13,9:25:4.634,98,-5.2514877,8.4237,1.5642475,
2022-12-13,9:25:4.636,100,-5.208968,8.3763895,1.6253322,
2022-12-13,9:25:4.639,103,-5.1802225,8.362017,1.6211401,
2022-12-13,9:25:4.642,106,-5.1658497,8.3763895,1.7343265,
2022-12-13,9:25:4.649,113,-5.1514764,8.333271,1.7486993,
2022-12-13,9:25:4.650,114,-5.189804,8.281169,1.7534903,
2022-12-13,9:25:4.650,114,-5.2419057,8.290751,1.810383,
2022-12-13,9:25:4.651,115,-5.204177,8.32848,1.9331511,
2022-12-13,9:25:4.655,119,-5.1945953,8.366808,2.0517273,
2022-12-13,9:25:4.656,120,-5.2754426,8.399746,2.089456,
2022-12-13,9:25:4.666,130,-5.3089795,8.437474,2.0990381,
2022-12-13,9:25:4.667,131,-5.2850246,8.494367,2.1271849,
2022-12-13,9:25:4.667,131,-5.35629,8.55605,2.141558,
2022-12-13,9:25:4.668,132,-5.2898154,8.584796,2.1984503,
2022-12-13,9:25:4.668,132,-5.2419057,8.617734,2.2080324,
2022-12-13,9:25:4.670,134,-5.208968,8.670435,2.1511397,
2022-12-13,9:25:4.673,137,-5.1610584,8.6273155,2.0846653,
2022-12-13,9:25:4.683,147,-5.0658383,8.665644,2.094247,
2022-12-13,9:25:4.683,147,-5.0562563,8.64648,2.1271849,
2022-12-13,9:25:4.683,147,-5.0083466,8.665644,2.1936595,
2022-12-13,9:25:4.684,148,-4.894562,8.636898,2.2409701,
