DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2022-12-13,9:24:27.123,0,-3.926788,9.073474,1.3540442,
2022-12-13,9:24:27.142,19,-3.974099,9.10222,1.4157279,
2022-12-13,9:24:27.168,45,-3.7315567,8.917169,1.5720328,
2022-12-13,9:24:27.183,60,-3.6363363,8.836322,1.5055583,
2022-12-13,9:24:27.203,80,-3.707602,8.884231,1.3115245,
2022-12-13,9:24:27.223,100,-3.6884382,8.770446,1.2546319,
2022-12-13,9:24:27.251,128,-3.826777,8.789011,1.4911854,
2022-12-13,9:24:27.267,144,-4.0459633,8.874649,1.5672418,
2022-12-13,9:24:27.282,159,-4.135195,8.803384,1.5768237,
2022-12-13,9:24:27.303,180,-4.259161,8.912378,1.4732193,
2022-12-13,9:24:27.328,205,-4.1872964,8.955497,1.3690159,
2022-12-13,9:24:27.344,221,-4.272935,8.760864,1.5774226,
2022-12-13,9:24:27.365,242,-4.3400083,8.803384,1.7804394,
2022-12-13,9:24:27.385,262,-4.1825056,8.798593,1.8660778,
2022-12-13,9:24:27.404,281,-3.87289,8.855485,1.8708687,
2022-12-13,9:24:27.428,306,-4.011229,8.964479,2.2733092,
2022-12-13,9:24:27.445,322,-4.6921434,8.993225,2.7182693,
2022-12-13,9:24:27.466,343,-4.791556,8.798593,2.7799528,
2022-12-13,9:24:27.485,362,-4.5921326,8.608751,2.779354,
2022-12-13,9:24:27.505,382,-4.4304376,8.585395,2.8266647,
2022-12-13,9:24:27.528,405,-4.0687203,8.978852,2.4056594,
2022-12-13,9:24:27.546,423,-3.7016132,9.614253,1.6624621,
2022-12-13,9:24:27.567,444,-2.9871616,9.37231,0.70127636,
2022-12-13,9:24:27.586,463,-2.3397837,9.301643,-0.13654228,
2022-12-13,9:24:27.612,489,-2.2014449,9.429202,-1.0216717,
2022-12-13,9:24:27.629,506,-1.3396714,9.719055,-2.9105065,
2022-12-13,9:24:27.647,524,0.45094883,9.301643,-3.6249578,
2022-12-13,9:24:27.667,544,0.8605757,8.390762,-2.4559643,
2022-12-13,9:24:27.687,564,-1.3540442,7.8122544,0.31799978,
2022-12-13,9:24:27.708,585,-3.2542577,7.9452033,2.911704,
2022-12-13,9:24:27.728,605,-5.3215556,8.33387,5.1460867,
2022-12-13,9:24:27.747,624,-7.5170116,8.452446,7.4038253,
2022-12-13,9:24:27.768,645,-8.617135,8.462028,7.8445935,
2022-12-13,9:24:27.787,664,-8.31231,8.518921,5.8090353,
2022-12-13,9:24:27.809,686,-5.926414,9.0597,2.4433882,
2022-12-13,9:24:27.827,704,-3.3590598,10.671857,-1.5139425,
2022-12-13,9:24:27.849,726,-0.24493769,11.2318,-4.7711945,
2022-12-13,9:24:27.868,745,1.607965,10.50597,-5.8503575,
2022-12-13,9:24:27.889,766,0.18864393,9.680728,-4.520268,
2022-12-13,9:24:27.907,784,-0.72103906,8.4764,-1.9547105,
2022-12-13,9:24:27.930,807,-1.2115133,7.4852715,-0.056293745,
2022-12-13,9:24:27.949,826,-2.8494217,7.2050004,3.0398622,
2022-12-13,9:24:27.970,847,-5.664109,7.3762774,6.6989555,
2022-12-13,9:24:27.989,866,-8.3171015,7.698469,8.899801,
2022-12-13,9:24:28.9,887,-9.345361,7.7553616,7.266684,
2022-12-13,9:24:28.30,907,-7.8595653,7.5277915,4.1375904,
2022-12-13,9:24:28.50,927,-5.564098,8.139237,1.8043942,
2022-12-13,9:24:28.69,946,-3.9735,9.813677,-0.4395703,
2022-12-13,9:24:28.90,967,-1.1456376,11.492309,-4.8424597,
2022-12-13,9:24:28.110,987,1.8073885,11.074896,-7.9290338,
2022-12-13,9:24:28.130,1007,0.22577386,9.898716,-6.646255,
2022-12-13,9:24:28.149,1026,-1.9792641,9.154322,-3.0530374,
2022-12-13,9:24:28.171,1048,-1.8265524,7.717633,0.1419321,
2022-12-13,9:24:28.189,1066,-3.574653,7.347532,4.217839,
2022-12-13,9:24:28.211,1089,-7.794288,7.9260397,8.624921,
2022-12-13,9:24:28.230,1107,-9.5849085,7.721825,10.504173,
2022-12-13,9:24:28.252,1129,-8.1847515,7.347532,8.051803,
2022-12-13,9:24:28.271,1148,-6.551634,7.5990567,4.037579,
2022-12-13,9:24:28.292,1169,-4.478946,8.499757,1.0228693,
2022-12-13,9:24:28.311,1188,-3.0356703,10.140659,-1.5810158,
2022-12-13,9:24:28.332,1209,-0.9498072,11.345585,-5.646742,
2022-12-13,9:24:28.355,1232,0.84560394,10.529924,-8.014073,
2022-12-13,9:24:28.373,1250,-0.2209829,9.728039,-6.541453,
2022-12-13,9:24:28.394,1271,-1.0498185,8.808174,-2.3146312,
2022-12-13,9:24:28.413,1290,-2.154733,7.9637685,2.0924506,
2022-12-13,9:24:28.433,1310,-4.650223,8.091927,6.012052,
2022-12-13,9:24:28.454,1331,-8.041022,8.06378,8.951903,
2022-12-13,9:24:28.473,1350,-8.507542,7.6511583,9.013587,
2022-12-13,9:24:28.495,1372,-7.5888762,7.47569,6.201295,
2022-12-13,9:24:28.512,1389,-5.855747,7.8595653,2.6841338,
2022-12-13,9:24:28.533,1410,-3.8794775,8.964479,-0.4024404,
2022-12-13,9:24:28.553,1430,-0.9551971,10.800015,-5.15507,
2022-12-13,9:24:28.575,1452,1.5259198,11.174908,-8.823745,
2022-12-13,9:24:28.595,1472,0.32099414,10.316129,-7.763147,
2022-12-13,9:24:28.615,1492,-0.69349104,9.268106,-4.037579,
2022-12-13,9:24:28.634,1511,-0.122169405,8.030243,-0.24613541,
2022-12-13,9:24:28.656,1533,-2.0313659,7.3756785,4.2651496,
2022-12-13,9:24:28.675,1552,-6.2228546,7.6367855,8.889621,
2022-12-13,9:24:28.697,1574,-9.570536,7.911667,11.0198,
2022-12-13,9:24:28.716,1593,-9.084852,7.6559496,8.558446,
2022-12-13,9:24:28.736,1613,-7.0133624,7.888311,3.42254,
2022-12-13,9:24:28.755,1632,-4.856234,8.912378,-0.11857619,
2022-12-13,9:24:28.777,1654,-2.4320097,10.425122,-4.004641,
2022-12-13,9:24:28.797,1674,1.1636037,11.217427,-7.451136,
2022-12-13,9:24:28.817,1694,1.4875922,10.420332,-7.3708873,
2022-12-13,9:24:28.836,1713,-0.6653442,9.633417,-4.2651496,
2022-12-13,9:24:28.857,1734,-0.951005,8.4237,-0.767152,
2022-12-13,9:24:28.876,1753,-1.7606767,7.5894747,2.2248006,
2022-12-13,9:24:28.898,1775,-4.8083243,7.4846725,7.152899,
2022-12-13,9:24:28.917,1794,-8.580006,7.783509,11.038964,
2022-12-13,9:24:28.938,1815,-9.436988,7.911667,10.172998,
2022-12-13,9:24:28.959,1836,-7.5038366,7.750571,5.1598606,
2022-12-13,9:24:28.981,1858,-5.717408,8.452446,0.7054684,
2022-12-13,9:24:28.997,1874,-3.441105,10.017292,-2.518247,
2022-12-13,9:24:29.18,1895,0.5497623,11.331212,-6.8971815,
2022-12-13,9:24:29.39,1916,2.3164277,10.800015,-8.705169,
2022-12-13,9:24:29.59,1936,0.2305648,9.823258,-5.869521,
2022-12-13,9:24:29.82,1959,-0.10240671,8.571022,-1.6948011,
2022-12-13,9:24:29.98,1975,-1.4271064,7.4708986,1.6852192,
2022-12-13,9:24:29.119,1996,-4.0800986,7.456526,6.1917133,
2022-12-13,9:24:29.140,2017,-7.7421865,7.6559496,10.759292,
2022-12-13,9:24:29.159,2037,-10.147247,8.148819,10.711981,
2022-12-13,9:24:29.182,2059,-8.423101,7.7978816,6.560617,
2022-12-13,9:24:29.199,2076,-6.104278,8.006887,1.8840439,
2022-12-13,9:24:29.220,2097,-4.1040535,9.054909,-1.2169031,
2022-12-13,9:24:29.240,2117,-0.46053076,10.856908,-5.9318037,
2022-12-13,9:24:29.259,2136,2.5871167,11.022795,-9.051315,
2022-12-13,9:24:29.282,2159,0.82524234,10.121495,-7.3565145,
2022-12-13,9:24:29.299,2176,-0.28925404,9.1686945,-2.9542239,
2022-12-13,9:24:29.320,2197,-0.42759293,7.864356,0.7617622,
2022-12-13,9:24:29.339,2216,-2.9182918,7.42778,4.861025,
2022-12-13,9:24:29.361,2238,-7.185837,7.887712,9.930456,
2022-12-13,9:24:29.381,2258,-10.281394,8.101508,11.502489,
2022-12-13,9:24:29.401,2278,-9.4196205,7.7553616,8.269192,
2022-12-13,9:24:29.421,2298,-7.1666727,7.9685593,3.288992,
2022-12-13,9:24:29.441,2318,-5.0287085,8.366808,-0.043118615,
2022-12-13,9:24:29.461,2338,-1.0665869,10.311337,-5.4964256,
2022-12-13,9:24:29.481,2358,2.9057155,11.307258,-9.207621,
2022-12-13,9:24:29.501,2378,1.9583037,10.4299135,-8.1518135,
2022-12-13,9:24:29.522,2399,-0.30901673,9.466931,-3.9956582,
2022-12-13,9:24:29.542,2419,-0.48987538,8.134446,-0.08563836,
2022-12-13,9:24:29.562,2439,-2.214021,7.3756785,3.620766,
2022-12-13,9:24:29.582,2459,-5.9192276,7.6936784,8.406333,
2022-12-13,9:24:29.602,2479,-9.048322,7.8074636,11.729461,
2022-12-13,9:24:29.623,2500,-9.857394,7.817045,9.8358345,
2022-12-13,9:24:29.643,2520,-7.7050567,7.9781413,4.9269004,
2022-12-13,9:24:29.665,2542,-5.071228,8.409926,1.121084,
2022-12-13,9:24:29.682,2559,-2.9146986,9.651982,-2.00801,
2022-12-13,9:24:29.702,2579,0.280271,10.946738,-7.172662,
2022-12-13,9:24:29.723,2600,2.9853652,10.813789,-9.232174,
2022-12-13,9:24:29.743,2620,1.1138976,10.074185,-6.50073,
2022-12-13,9:24:29.766,2643,-0.1676835,8.808174,-1.6912079,
2022-12-13,9:24:29.783,2660,-1.4911854,7.489464,2.1427555,
2022-12-13,9:24:29.803,2680,-4.234607,7.60804,5.645544,
2022-12-13,9:24:29.824,2701,-7.5212035,7.8595653,10.062207,
2022-12-13,9:24:29.844,2721,-10.097541,7.9781413,10.69641,
2022-12-13,9:24:29.866,2743,-9.254931,7.7409887,7.506232,
2022-12-13,9:24:29.885,2762,-6.4198823,7.9212484,2.9338624,
2022-12-13,9:24:29.904,2781,-3.9339747,8.893214,-0.27548003,
2022-12-13,9:24:29.925,2802,-0.77134407,10.586219,-4.895759,
2022-12-13,9:24:29.945,2822,2.8242693,11.392896,-9.321405,
2022-12-13,9:24:29.966,2843,1.9954336,10.405959,-8.289554,
2022-12-13,9:24:29.985,2862,-0.6192312,9.448366,-3.8022232,
2022-12-13,9:24:30.6,2883,-1.3857844,8.191339,1.2013324,
2022-12-13,9:24:30.26,2903,-3.8477373,7.9685593,5.589849,
2022-12-13,9:24:30.46,2923,-6.7336903,8.580605,8.931541,
2022-12-13,9:24:30.66,2943,-7.7338023,7.9685593,9.433394,
2022-12-13,9:24:30.85,2962,-7.782311,7.6697235,6.7205153,
2022-12-13,9:24:30.106,2983,-7.110978,7.9781413,2.853015,
2022-12-13,9:24:30.126,3003,-4.9490585,8.703372,0.041322004,
2022-12-13,9:24:30.146,3023,-2.2104278,10.173597,-3.1255007,
2022-12-13,9:24:30.167,3044,1.2516376,11.098252,-6.8935885,
2022-12-13,9:24:30.187,3064,2.4326084,10.155032,-7.3625035,
2022-12-13,9:24:30.207,3084,0.041920874,9.305836,-4.2334094,
2022-12-13,9:24:30.227,3104,-1.2917618,8.447655,-0.23355916,
2022-12-13,9:24:30.248,3125,-2.430213,7.754763,4.0076356,
2022-12-13,9:24:30.267,3144,-5.906651,7.9541864,8.854886,
2022-12-13,9:24:30.287,3164,-8.9537,7.982932,10.550286,
2022-12-13,9:24:30.306,3183,-8.424898,7.4990454,8.789011,
2022-12-13,9:24:30.328,3205,-6.877419,7.712243,4.510087,
2022-12-13,9:24:30.347,3225,-5.1155443,8.803384,0.73720855,
2022-12-13,9:24:30.368,3245,-2.3769135,10.486806,-3.8070142,
2022-12-13,9:24:30.387,3264,1.6235356,11.264738,-8.346446,
2022-12-13,9:24:30.409,3286,2.2044392,10.363439,-8.484186,
2022-12-13,9:24:30.428,3305,-0.6863046,9.751394,-4.976008,
2022-12-13,9:24:30.449,3326,-0.5096381,8.717745,-0.9288468,
2022-12-13,9:24:30.468,3345,-1.1432421,7.5888762,1.9678856,
2022-12-13,9:24:30.489,3366,-3.7249691,7.3283677,6.422278,
2022-12-13,9:24:30.509,3386,-7.7397914,7.579294,11.122806,
2022-12-13,9:24:30.529,3406,-10.192761,7.721825,10.914399,
2022-12-13,9:24:30.551,3428,-8.392559,7.2714753,6.8055544,
2022-12-13,9:24:30.570,3447,-5.7251935,7.9446044,1.7924168,
2022-12-13,9:24:30.589,3466,-3.3872066,9.575926,-1.5540667,
2022-12-13,9:24:30.610,3487,-0.1676835,11.146162,-6.4300632,
2022-12-13,9:24:30.630,3507,1.975072,11.179099,-9.322004,
2022-12-13,9:24:30.652,3529,0.38926527,10.173597,-7.381667,
2022-12-13,9:24:30.670,3547,-0.120372795,9.253734,-2.7805517,
2022-12-13,9:24:30.690,3567,-0.56353635,7.9446044,1.2384624,
2022-12-13,9:24:30.710,3587,-3.4357152,7.6505594,5.020324,
2022-12-13,9:24:30.730,3607,-6.3593965,7.749972,8.703372,
2022-12-13,9:24:30.755,3632,-8.760265,7.731407,10.582625,
2022-12-13,9:24:30.773,3650,-9.350751,8.0727625,8.33387,
2022-12-13,9:24:30.792,3670,-7.469701,8.537485,3.662088,
2022-12-13,9:24:30.814,3691,-5.093386,9.5190325,-0.5892877,
2022-12-13,9:24:30.832,3709,-1.0833552,10.63353,-5.904855,
2022-12-13,9:24:30.856,3733,2.0313659,10.737733,-8.839914,
2022-12-13,9:24:30.873,3750,0.45454204,10.211327,-7.1594863,
2022-12-13,9:24:30.894,3771,-0.24014673,9.429202,-2.9135008,
2022-12-13,9:24:30.912,3789,-0.03533331,8.262605,0.3671071,
2022-12-13,9:24:30.934,3811,-2.2499533,7.8116555,3.7656922,
2022-12-13,9:24:30.957,3834,-5.364674,7.9446044,7.510424,
2022-12-13,9:24:30.976,3853,-7.6840963,7.873339,10.090355,
