DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2022-12-13,9:23:30.955,0,-5.5191827,8.192536,1.5331063,
2022-12-13,9:23:31.34,79,-5.0514655,8.090729,1.4360894,
2022-12-13,9:23:31.74,119,-5.420369,8.052402,1.5810158,
2022-12-13,9:23:31.155,200,-5.3209567,8.1254635,1.5235244,
2022-12-13,9:23:31.194,239,-5.498821,8.133847,1.6289254,
2022-12-13,9:23:31.275,320,-5.0915895,8.017667,1.8708687,
2022-12-13,9:23:31.355,400,-6.22525,8.170379,2.706292,
2022-12-13,9:23:31.394,439,-5.490437,7.98413,2.2511508,
2022-12-13,9:23:31.474,519,-5.0514655,8.069768,2.0834675,
2022-12-13,9:23:31.555,600,-3.0793877,8.834525,-0.4395703,
2022-12-13,9:23:31.595,640,-1.878654,8.051204,-1.1354568,
2022-12-13,9:23:31.675,720,-7.199012,7.49665,5.72699,
2022-12-13,9:23:31.755,800,-8.074559,8.014073,4.093873,
2022-12-13,9:23:31.795,840,-1.5498747,9.89153,-4.598121,
2022-12-13,9:23:31.875,920,-3.6914325,7.304413,0.7617622,
2022-12-13,9:23:31.955,1000,-10.297564,6.92473,8.384774,
2022-12-13,9:23:31.995,1040,-4.0076356,8.741101,-1.9127896,
2022-12-13,9:23:32.76,1121,-1.3396714,8.586593,-3.367444,
2022-12-13,9:23:32.155,1200,-8.156605,6.832504,8.018865,
2022-12-13,9:23:32.196,1241,-7.257102,7.680503,2.4326084,
2022-12-13,9:23:32.276,1321,-0.4772991,9.630423,-5.8395777,
2022-12-13,9:23:32.355,1400,-5.000561,7.069656,3.955534,
2022-12-13,9:23:32.397,1442,-9.646592,7.203204,7.054684,
2022-12-13,9:23:32.477,1522,-1.3857844,9.508852,-4.9490585,
2022-12-13,9:23:32.557,1602,-2.9362578,7.9422092,-0.9024965,
2022-12-13,9:23:32.597,1642,-10.274806,7.0229445,9.356739,
2022-12-13,9:23:32.674,1719,-4.0459633,8.73152,-1.957106,
2022-12-13,9:23:32.756,1801,-1.1432421,8.74709,-3.8974435,
2022-12-13,9:23:32.795,1840,-8.11169,7.064266,7.111577,
2022-12-13,9:23:32.875,1920,-7.3648987,7.796684,2.8134894,
2022-12-13,9:23:32.915,1960,-0.48388666,9.637011,-6.1438036,
2022-12-13,9:23:32.995,2040,-5.0089455,7.1301417,3.7974324,
2022-12-13,9:23:33.75,2120,-9.945428,7.2565036,6.6037354,
2022-12-13,9:23:33.115,2160,-1.3624284,9.469926,-5.1945953,
2022-12-13,9:23:33.196,2241,-2.5278287,8.050006,-0.6946888,
2022-12-13,9:23:33.276,2321,-9.938242,6.9079614,8.344649,
2022-12-13,9:23:33.315,2360,-5.4688773,8.335068,-0.08563836,
2022-12-13,9:23:33.437,2482,-0.047310703,9.2615185,-5.9144363,
2022-12-13,9:23:33.476,2521,-7.5218024,7.1427183,6.398323,
2022-12-13,9:23:33.558,2603,-8.194333,7.279859,4.048359,
2022-12-13,9:23:33.639,2684,-0.54137814,9.741214,-6.302504,
