DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2022-12-13,9:22:52.557,0,-6.0372047,6.9253283,3.3039637,
2022-12-13,9:22:52.754,197,-6.1360183,6.9618597,3.270427,
2022-12-13,9:22:52.995,438,-6.151589,6.931916,3.2488678,
2022-12-13,9:22:53.195,638,-6.165363,6.8696337,3.3141446,
2022-12-13,9:22:53.400,843,-6.0659504,6.9349103,3.339896,
2022-12-13,9:22:53.611,1054,-6.009657,6.982221,3.362054,
2022-12-13,9:22:53.811,1254,-6.0072613,6.9289217,3.38541,
2022-12-13,9:22:53.998,1441,-5.906052,7.0636673,3.3662462,
2022-12-13,9:22:54.196,1639,-5.8862896,7.01456,3.6045964,
2022-12-13,9:22:54.395,1838,-5.021522,7.7625484,2.1762922,
2022-12-13,9:22:54.595,2039,-6.5684023,6.269566,4.786765,
2022-12-13,9:22:54.810,2253,-6.0479846,7.113972,3.4369128,
2022-12-13,9:22:55.11,2455,-5.317962,7.5307856,2.2990606,
2022-12-13,9:22:55.213,2656,-5.2862225,7.662537,2.0828686,
2022-12-13,9:22:55.409,2852,-5.5119963,7.53917,2.7542014,
2022-12-13,9:22:55.612,3055,-5.9347982,7.3151927,3.638133,
2022-12-13,9:22:55.799,3243,-5.9012613,6.926526,4.0675225,
2022-12-13,9:22:56.8,3451,-5.4922333,7.2559047,3.3363028,
2022-12-13,9:22:56.205,3648,-5.1095557,7.829622,2.5895123,
2022-12-13,9:22:56.405,3849,-4.744844,7.8014746,1.9726766,
2022-12-13,9:22:56.609,4052,-4.9263015,7.7110453,2.3254108,
2022-12-13,9:22:56.812,4255,-4.924505,7.723023,2.2685182,
2022-12-13,9:22:57.11,4455,-5.2065725,7.6553507,2.7482128,
2022-12-13,9:22:57.203,4646,-5.3347306,7.4475427,2.9099076,
2022-12-13,9:22:57.408,4851,-5.425759,7.5691133,2.8092976,
2022-12-13,9:22:57.608,5051,-5.2898154,7.4170003,2.9440432,
2022-12-13,9:22:57.803,5246,-5.4736686,7.3708873,3.239286,
2022-12-13,9:22:58.37,5480,-5.889883,7.322379,3.3955908,
2022-12-13,9:22:58.235,5678,-5.310177,7.42778,2.2912753,
2022-12-13,9:22:58.451,5894,-5.443725,7.5768986,2.7188683,
2022-12-13,9:22:58.650,6094,-5.3239512,7.534978,2.530823,
2022-12-13,9:22:58.845,6288,-5.2981997,7.5361757,2.3972752,
2022-12-13,9:22:59.51,6494,-5.552719,7.594865,2.9422464,
2022-12-13,9:22:59.241,6684,-5.4604936,7.443351,3.2380881,
2022-12-13,9:22:59.448,6891,-5.53116,7.4223905,3.573455,
2022-12-13,9:22:59.647,7090,-5.7126174,7.406221,3.5027885,
2022-12-13,9:22:59.847,7291,-5.42516,7.2984242,3.4967997,
2022-12-13,9:23:0.41,7484,-5.2856236,7.630198,3.1853876,
2022-12-13,9:23:0.251,7694,-5.034098,7.63978,2.7673767,
2022-12-13,9:23:0.448,7892,-4.964629,7.8302207,2.5475914,
2022-12-13,9:23:0.651,8094,-4.828087,7.781712,2.2080324,
2022-12-13,9:23:0.851,8294,-4.567579,7.9446044,1.8043942,
2022-12-13,9:23:1.50,8493,-4.647827,7.945802,1.4570498,
2022-12-13,9:23:1.250,8693,-5.228132,8.025452,1.9756709,
2022-12-13,9:23:1.450,8894,-5.237714,7.4110117,3.1823933,
2022-12-13,9:23:1.652,9095,-5.717408,7.744582,3.0602238,
2022-12-13,9:23:1.851,9294,-5.374256,7.618221,3.013512,
2022-12-13,9:23:2.43,9486,-5.399409,7.675712,2.9644046,
2022-12-13,9:23:2.251,9695,-5.3592844,7.60804,2.953625,
2022-12-13,9:23:2.447,9891,-5.0969796,7.7427855,2.6565857,
2022-12-13,9:23:2.641,10085,-4.881985,7.9314294,2.1271849,
2022-12-13,9:23:2.843,10286,-4.740053,7.794887,2.0379534,
2022-12-13,9:23:3.48,10491,-4.531048,7.886514,1.6115582,
2022-12-13,9:23:3.284,10727,-4.721488,8.04222,1.5864056,
2022-12-13,9:23:3.490,10934,-4.837669,8.041621,1.8840439,
2022-12-13,9:23:3.692,11135,-5.0658383,7.8931017,2.1056256,
2022-12-13,9:23:3.891,11334,-5.4287534,7.7248197,2.8374443,
2022-12-13,9:23:4.88,11531,-5.507804,7.575102,3.1997604,
2022-12-13,9:23:4.281,11724,-5.6575212,7.515814,3.335105,
2022-12-13,9:23:4.488,11931,-5.397612,7.5649214,3.1895797,
2022-12-13,9:23:4.681,12124,-5.081409,7.772729,2.558371,
2022-12-13,9:23:4.888,12331,-4.3256354,7.9266386,1.4061459,
2022-12-13,9:23:5.80,12523,-4.5514092,7.9320283,0.63180745,
2022-12-13,9:23:5.287,12730,-5.190403,7.9080734,1.5864056,
2022-12-13,9:23:5.485,12928,-5.641352,7.6793056,2.5805292,
2022-12-13,9:23:5.684,13128,-5.9365945,7.276865,3.297975,
2022-12-13,9:23:5.883,13327,-5.4742675,7.672119,2.5164502,
2022-12-13,9:23:6.79,13522,-5.7168097,7.6469665,2.269716,
2022-12-13,9:23:6.278,13721,-6.0246286,7.487667,2.5068684,
2022-12-13,9:23:6.480,13923,-5.434742,7.570311,2.3625407,
2022-12-13,9:23:6.680,14123,-5.798855,7.6469665,2.3325973,
2022-12-13,9:23:6.880,14323,-5.8599396,7.440955,2.3643372,
2022-12-13,9:23:7.80,14523,-5.9545608,7.4032264,2.4619532,
2022-12-13,9:23:7.275,14718,-5.935996,7.3930454,2.4751282,
