DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2022-12-13,9:22:10.234,0,-0.9228581,-0.0029943483,9.758581,
2022-12-13,9:22:10.434,200,-1.0198749,-0.17966089,9.715462,
2022-12-13,9:22:10.635,401,-1.860688,0.51981884,9.791518,
2022-12-13,9:22:10.834,600,-3.068608,2.2930717,9.120186,
2022-12-13,9:22:11.35,801,-3.532133,2.9260771,8.338661,
2022-12-13,9:22:11.246,1012,-4.5244603,3.918404,8.085339,
2022-12-13,9:22:11.445,1211,-4.915522,5.047872,6.0192385,
2022-12-13,9:22:11.644,1411,-5.204177,5.283827,6.7552495,
2022-12-13,9:22:11.844,1610,-5.6287756,6.537261,5.0430813,
2022-12-13,9:22:12.43,1810,-5.048471,7.8589664,3.5572855,
2022-12-13,9:22:12.246,2013,-3.4279299,8.421904,3.1614327,
2022-12-13,9:22:12.447,2214,-2.2176142,8.448853,2.9146986,
2022-12-13,9:22:12.691,2457,-2.17749,8.609949,3.5411162,
2022-12-13,9:22:12.891,2658,-2.306846,8.949508,3.1859865,
2022-12-13,9:22:13.87,2853,-2.1283827,8.981847,3.220721,
2022-12-13,9:22:13.284,3050,-1.860688,8.8980055,3.684845,
2022-12-13,9:22:13.485,3251,-2.1643147,8.515926,3.767489,
2022-12-13,9:22:13.691,3457,-2.5032752,8.923757,3.3458846,
2022-12-13,9:22:13.882,3648,-2.663772,8.320695,4.1968784,
2022-12-13,9:22:14.84,3850,-3.3105514,8.448254,3.5357263,
2022-12-13,9:22:14.287,4054,-3.4141557,8.692593,2.9668002,
2022-12-13,9:22:14.488,4254,-3.3710372,8.345248,2.636823,
2022-12-13,9:22:14.685,4452,-3.7219748,8.50335,2.4050605,
2022-12-13,9:22:14.892,4658,-4.1094437,8.621327,1.9960325,
2022-12-13,9:22:15.86,4853,-4.378935,8.726728,2.6008909,
2022-12-13,9:22:15.290,5056,-4.1028557,7.8110566,3.9010367,
2022-12-13,9:22:15.490,5256,-4.7939515,8.345847,3.293184,
2022-12-13,9:22:15.684,5450,-3.8986413,8.454842,2.5757382,
2022-12-13,9:22:15.886,5652,-3.9926639,8.763259,2.1050267,
2022-12-13,9:22:16.84,5851,-3.5087771,8.721937,1.672643,
2022-12-13,9:22:16.291,6057,-3.4722462,8.76805,1.2893664,
2022-12-13,9:22:16.490,6257,-3.611184,8.697384,1.6091627,
2022-12-13,9:22:16.690,6456,-3.3081558,8.77883,1.2306771,
2022-12-13,9:22:16.890,6656,-3.8243816,8.817158,1.7558857,
2022-12-13,9:22:17.79,6845,-4.010031,8.708163,2.052925,
2022-12-13,9:22:17.287,7054,-4.2411947,8.547667,2.8039076,
2022-12-13,9:22:17.489,7255,-4.299884,8.437474,2.7583935,
2022-12-13,9:22:17.731,7497,-3.9645169,8.578209,2.3775125,
2022-12-13,9:22:17.931,7697,-3.7363477,8.64648,2.0325634,
2022-12-13,9:22:18.130,7897,-3.3069582,8.849497,1.2869709,
2022-12-13,9:22:18.332,8098,-2.976382,8.87405,0.5862934,
2022-12-13,9:22:18.531,8298,-3.2057493,8.924954,0.32877943,
2022-12-13,9:22:18.731,8498,-3.9291837,8.936333,1.1671969,
