DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2022-12-13,9:23:20.995,0,-6.255193,7.4577236,0.9821462,
2022-12-13,9:23:21.195,200,-6.3234644,7.479283,1.03844,
2022-12-13,9:23:21.395,400,-6.7324924,7.384063,1.9002134,
2022-12-13,9:23:21.594,599,-5.104765,7.6451697,0.9276491,
2022-12-13,9:23:21.801,806,-5.4377365,8.002096,0.21499419,
2022-12-13,9:23:22.11,1017,-5.508403,7.868548,0.96298236,
2022-12-13,9:23:22.199,1204,-6.0024705,7.6607404,2.1906652,
2022-12-13,9:23:22.407,1412,-6.1797357,7.606842,2.6517947,
2022-12-13,9:23:22.605,1610,-5.7449565,7.675712,2.5577722,
2022-12-13,9:23:22.804,1809,-5.3718605,7.817045,1.9391398,
2022-12-13,9:23:23.4,2009,-4.766403,8.146423,1.346259,
2022-12-13,9:23:23.213,2218,-4.3741436,8.021859,0.6581577,
2022-12-13,9:23:23.436,2441,-4.767002,8.150017,0.9330389,
2022-12-13,9:23:23.635,2640,-4.856234,8.131452,0.9174683,
2022-12-13,9:23:23.835,2840,-5.4545045,8.097916,1.4187222,
2022-12-13,9:23:24.36,3041,-5.4149795,8.030243,1.9175806,
2022-12-13,9:23:24.252,3257,-5.9090466,7.900288,2.3206198,
2022-12-13,9:23:24.439,3444,-5.550923,7.712842,2.2523487,
2022-12-13,9:23:24.650,3656,-5.0867987,8.157204,1.1767788,
2022-12-13,9:23:24.840,3845,-4.5693755,8.069169,0.5791069,
2022-12-13,9:23:25.50,4055,-4.157353,8.151215,-0.65216905,
2022-12-13,9:23:25.252,4257,-5.7132163,7.969158,0.7252311,
2022-12-13,9:23:25.442,4448,-6.3971252,7.7559605,1.4738182,
2022-12-13,9:23:25.647,4652,-6.4755774,7.735599,2.1559308,
2022-12-13,9:23:25.846,4852,-5.469476,7.8128533,1.3899764,
2022-12-13,9:23:26.48,5053,-4.874799,8.129056,0.7312198,
2022-12-13,9:23:26.247,5253,-4.3945055,8.148819,0.34075683,
2022-12-13,9:23:26.450,5456,-4.8807874,8.218288,0.3922596,
2022-12-13,9:23:26.651,5656,-5.539544,8.097317,1.4211177,
2022-12-13,9:23:26.838,5844,-6.0396004,7.992514,2.053524,
2022-12-13,9:23:27.43,6048,-6.0743346,7.675712,2.223603,
2022-12-13,9:23:27.250,6255,-5.0538607,7.9134636,1.8666767,
2022-12-13,9:23:27.436,6442,-3.7381442,8.315904,0.08923157,
2022-12-13,9:23:27.634,6639,-5.1790247,8.513531,1.0360445,
2022-12-13,9:23:27.849,6854,-5.0508666,8.355429,1.3480556,
2022-12-13,9:23:28.47,7052,-4.939477,8.236853,1.249841,
2022-12-13,9:23:28.234,7239,-5.0682335,8.306921,1.3300894,
