DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2022-12-13,9:24:5.595,0,-4.2885056,8.433282,1.8163716,
2022-12-13,9:24:5.636,41,-4.542426,8.572819,1.9032077,
2022-12-13,9:24:5.716,121,-4.727477,8.371598,2.0523262,
2022-12-13,9:24:5.794,199,-5.4736686,8.351237,2.8865516,
2022-12-13,9:24:5.834,239,-5.250889,8.565034,2.4146423,
2022-12-13,9:24:5.915,320,-4.0220084,8.518921,2.141558,
2022-12-13,9:24:5.995,400,-4.961036,7.721825,3.6950257,
2022-12-13,9:24:6.35,440,-2.999139,9.638806,-1.7427106,
2022-12-13,9:24:6.114,520,-0.01736722,8.844107,-2.8356478,
2022-12-13,9:24:6.195,600,-6.536662,7.6128306,6.665419,
2022-12-13,9:24:6.274,679,-7.207995,7.866153,4.891567,
2022-12-13,9:24:6.315,720,-1.0168806,10.389191,-4.3627653,
2022-12-13,9:24:6.395,800,-2.3535576,7.9290338,-0.9174683,
2022-12-13,9:24:6.476,881,-9.513044,7.395441,9.267508,
2022-12-13,9:24:6.515,920,-4.951454,8.672231,-0.2209829,
2022-12-13,9:24:6.595,1000,-0.8521915,9.221395,-4.616087,
2022-12-13,9:24:6.676,1081,-5.738369,7.336153,5.492832,
2022-12-13,9:24:6.715,1120,-8.028446,7.5774975,5.2401094,
2022-12-13,9:24:6.795,1201,-1.1642026,10.206535,-5.2754426,
2022-12-13,9:24:6.875,1280,-2.6607778,7.9224463,0.16888124,
2022-12-13,9:24:6.914,1319,-9.290265,7.32717,8.571621,
2022-12-13,9:24:6.996,1401,-3.757907,8.893813,-1.3145188,
2022-12-13,9:24:7.35,1440,-0.9731632,9.5519705,-4.3148556,
2022-12-13,9:24:7.117,1522,-6.891792,7.0486956,6.5534306,
2022-12-13,9:24:7.198,1603,-7.832017,7.4499383,4.1052513,
2022-12-13,9:24:7.238,1643,-0.5246098,10.340083,-5.8407755,
2022-12-13,9:24:7.319,1724,-3.6231613,7.681102,2.1104167,
2022-12-13,9:24:7.399,1805,-9.202829,7.2050004,7.7182317,
2022-12-13,9:24:7.437,1842,-2.5469925,9.481903,-2.894337,
2022-12-13,9:24:7.518,1923,-1.7433095,8.670435,-2.337987,
2022-12-13,9:24:7.597,2003,-7.731407,7.257102,7.431373,
2022-12-13,9:24:7.637,2042,-5.847962,8.127859,1.6828237,
2022-12-13,9:24:7.719,2124,-0.48268893,9.983157,-5.385036,
2022-12-13,9:24:7.797,2202,-6.0204363,7.2792606,5.4425273,
2022-12-13,9:24:7.837,2242,-8.262605,7.162481,5.610211,
2022-12-13,9:24:7.919,2324,-1.3390725,9.980163,-5.21316,
2022-12-13,9:24:7.997,2402,-2.73384,8.207508,-0.25332186,
2022-12-13,9:24:8.37,2443,-9.012389,7.5445595,8.204514,
2022-12-13,9:24:8.119,2524,-4.216042,8.853688,-0.9767564,
2022-12-13,9:24:8.197,2602,-0.5791069,9.29805,-4.259161,
2022-12-13,9:24:8.238,2643,-6.477973,7.4223905,6.2947187,
2022-12-13,9:24:8.319,2724,-7.7805142,7.2475204,4.9604373,
2022-12-13,9:24:8.397,2802,-0.60665494,10.604185,-5.9102445,
2022-12-13,9:24:8.436,2841,-2.8458285,7.958379,1.0031066,
2022-12-13,9:24:8.516,2921,-9.099824,7.098402,8.671034,
2022-12-13,9:24:8.597,3002,-4.203466,8.66205,-0.3868698,
2022-12-13,9:24:8.634,3039,-0.49646294,9.633417,-4.9802,
2022-12-13,9:24:8.714,3120,-5.8407755,7.2505145,6.177939,
2022-12-13,9:24:8.795,3200,-8.420706,7.606842,4.9909797,
2022-12-13,9:24:8.875,3280,-0.8012876,10.342479,-5.301793,
2022-12-13,9:24:8.914,3319,-3.0889695,7.7847066,1.8013998,
2022-12-13,9:24:8.995,3400,-8.774039,7.135532,8.214096,
2022-12-13,9:24:9.75,3480,-2.8655913,9.215406,-2.2894785,
2022-12-13,9:24:9.114,3519,-1.3372759,9.060898,-3.1704159,
2022-12-13,9:24:9.195,3600,-7.6876893,7.3565145,7.838006,
2022-12-13,9:24:9.275,3680,-6.4749784,7.528989,2.82906,
