DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2023-1-31,10:49:2.650,0,0.39264908,0.05746084,9.825804,
2023-1-31,10:49:2.668,17,0.33518824,0.076614454,9.691729,
2023-1-31,10:49:2.668,18,0.36391866,0.10534488,9.758766,
2023-1-31,10:49:2.669,19,0.37349546,0.10534488,9.816227,
2023-1-31,10:49:2.669,19,0.35434186,0.095768064,9.940725,
2023-1-31,10:49:2.676,26,0.40222588,0.095768064,9.940725,
2023-1-31,10:49:2.680,30,0.34476504,0.11492168,9.80665,
2023-1-31,10:49:2.685,34,0.35434186,0.10534488,9.787497,
2023-1-31,10:49:2.697,47,0.35434186,0.10534488,9.787497,
2023-1-31,10:49:2.698,48,0.35434186,0.08619126,9.825804,
2023-1-31,10:49:2.699,49,0.41180268,0.06703765,9.911995,
2023-1-31,10:49:2.706,56,0.39264908,0.047884032,9.892841,
2023-1-31,10:49:2.711,61,0.4213795,0.076614454,9.825804,
2023-1-31,10:49:2.714,64,0.36391866,0.05746084,9.80665,
2023-1-31,10:49:2.733,83,0.38307226,0.047884032,9.835381,
2023-1-31,10:49:2.734,84,0.39264908,0.08619126,9.854534,
2023-1-31,10:49:2.735,84,0.38307226,0.047884032,9.883265,
2023-1-31,10:49:2.735,85,0.33518824,0.05746084,9.854534,
2023-1-31,10:49:2.742,91,0.38307226,0.06703765,9.835381,
2023-1-31,10:49:2.744,94,0.38307226,0.095768064,9.816227,
2023-1-31,10:49:2.750,100,0.38307226,0.08619126,9.816227,
2023-1-31,10:49:2.768,117,0.40222588,0.095768064,9.835381,
2023-1-31,10:49:2.768,118,0.40222588,0.08619126,9.883265,
2023-1-31,10:49:2.769,119,0.37349546,0.11492168,9.864111,
2023-1-31,10:49:2.770,120,0.38307226,0.10534488,9.835381,
2023-1-31,10:49:2.778,128,0.38307226,0.11492168,9.825804,
2023-1-31,10:49:2.779,129,0.41180268,0.12449849,9.816227,
2023-1-31,10:49:2.785,134,0.36391866,0.08619126,9.835381,
2023-1-31,10:49:2.795,145,0.40222588,0.06703765,9.873688,
2023-1-31,10:49:2.796,146,0.38307226,0.08619126,9.844957,
