DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2022-12-13,9:25:12.557,0,-4.3070703,8.87405,1.0037055,
2022-12-13,9:25:12.560,3,-4.2789235,8.850096,0.94681287,
2022-12-13,9:25:12.562,5,-4.2789235,8.817158,0.9282479,
2022-12-13,9:25:12.563,6,-4.216641,8.783621,1.0037055,
2022-12-13,9:25:12.567,10,-4.102257,8.684209,1.0132874,
2022-12-13,9:25:12.576,19,-4.1549573,8.684209,0.95160383,
2022-12-13,9:25:12.577,20,-4.11663,8.655463,0.95160383,
2022-12-13,9:25:12.577,20,-4.131003,8.560842,1.0084965,
2022-12-13,9:25:12.577,20,-4.188494,8.470412,1.065389,
2022-12-13,9:25:12.580,23,-4.235805,8.513531,1.0935359,
2022-12-13,9:25:12.582,25,-4.321443,8.565633,1.1312647,
2022-12-13,9:25:12.592,35,-4.4070816,8.575214,1.1312647,
2022-12-13,9:25:12.592,35,-4.474155,8.575214,1.1833664,
2022-12-13,9:25:12.593,36,-4.5502114,8.702773,1.1929483,
2022-12-13,9:25:12.593,36,-4.5693755,8.764457,1.2025303,
2022-12-13,9:25:12.593,36,-4.602313,8.769248,1.1600105,
2022-12-13,9:25:12.598,41,-4.621477,8.783621,1.1222817,
2022-12-13,9:25:12.600,43,-4.5645843,8.769248,1.074971,
2022-12-13,9:25:12.608,51,-4.555002,8.817158,1.1648015,
2022-12-13,9:25:12.609,52,-4.507093,8.764457,1.1600105,
2022-12-13,9:25:12.609,52,-4.3980985,8.712356,1.1648015,
2022-12-13,9:25:12.610,53,-4.3166523,8.660254,1.1504285,
2022-12-13,9:25:12.612,55,-4.2980876,8.570423,1.0935359,
2022-12-13,9:25:12.615,58,-4.2549686,8.489576,1.2025303,
2022-12-13,9:25:12.618,61,-4.2070594,8.427893,1.2737957,
2022-12-13,9:25:12.625,68,-4.1980762,8.41352,1.3067335,
2022-12-13,9:25:12.625,68,-4.2070594,8.390163,1.235468,
2022-12-13,9:25:12.626,69,-4.231014,8.380582,1.2073212,
2022-12-13,9:25:12.626,69,-4.25976,8.41831,1.2594229,
2022-12-13,9:25:12.629,72,-4.340607,8.423101,1.1360557,
2022-12-13,9:25:12.631,74,-4.4166636,8.41352,1.0791631,
2022-12-13,9:25:12.634,77,-4.4028897,8.518322,1.1079088,
2022-12-13,9:25:12.642,85,-4.4262457,8.503949,1.1126997,
