DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2022-12-13,9:23:9.915,0,-5.9006624,7.2984242,2.4050605,
2022-12-13,9:23:10.115,200,-6.275555,7.309204,2.62245,
2022-12-13,9:23:10.315,400,-6.325261,7.3151927,3.0524385,
2022-12-13,9:23:10.514,599,-4.0950704,7.85178,0.7288243,
2022-12-13,9:23:10.732,817,-5.958154,8.250627,2.360744,
2022-12-13,9:23:10.931,1016,-5.1149454,7.7649436,2.2727103,
2022-12-13,9:23:11.130,1215,-4.6735787,7.9511924,2.4972863,
2022-12-13,9:23:11.322,1407,-5.128121,7.9763446,2.173298,
2022-12-13,9:23:11.519,1604,-4.8999515,8.026649,1.4696261,
2022-12-13,9:23:11.716,1801,-4.387918,8.329678,1.8139762,
2022-12-13,9:23:11.915,2000,-4.7208896,8.176367,1.7127671,
2022-12-13,9:23:12.116,2201,-4.562189,8.260808,1.4863944,
2022-12-13,9:23:12.332,2418,-4.819104,8.097317,1.501965,
2022-12-13,9:23:12.523,2609,-4.6741776,8.117079,1.1953439,
2022-12-13,9:23:12.728,2813,-4.8532395,8.104503,1.6756372,
2022-12-13,9:23:12.924,3009,-4.9837933,7.980537,1.9511173,
2022-12-13,9:23:13.133,3218,-4.9544487,8.033237,1.7211514,
2022-12-13,9:23:13.371,3456,-5.260471,8.015271,1.893027,
2022-12-13,9:23:13.563,3649,-5.1329117,7.9164577,1.8247558,
2022-12-13,9:23:13.771,3856,-4.9915786,7.966164,1.5486768,
2022-12-13,9:23:13.961,4047,-4.80533,8.091927,1.0731744,
2022-12-13,9:23:14.167,4253,-5.082607,7.9547853,1.4732193,
2022-12-13,9:23:14.371,4456,-5.1005726,8.226672,1.4271064,
2022-12-13,9:23:14.571,4656,-5.0975785,7.97874,1.5630498,
2022-12-13,9:23:14.763,4848,-5.389827,7.997305,1.7792417,
2022-12-13,9:23:14.964,5050,-5.083804,7.982932,1.934349,
2022-12-13,9:23:15.164,5249,-5.0640416,8.184153,1.7672642,
2022-12-13,9:23:15.366,5451,-5.1233296,7.9883223,1.93375,
2022-12-13,9:23:15.557,5642,-5.4293523,8.115881,2.10862,
2022-12-13,9:23:15.755,5840,-5.2999964,7.9416103,2.0690947,
2022-12-13,9:23:15.970,6056,-5.2389116,8.124865,1.892428,
2022-12-13,9:23:16.167,6252,-4.4867315,8.139836,1.1498297,
2022-12-13,9:23:16.364,6449,-4.4502,8.199124,0.82584125,
2022-12-13,9:23:16.565,6650,-4.2417936,8.134446,0.26470038,
2022-12-13,9:23:16.767,6853,-4.695737,8.3171015,0.822248,
2022-12-13,9:23:16.962,7047,-5.272448,8.069169,1.6247333,
2022-12-13,9:23:17.166,7252,-5.343115,8.020062,1.7265412,
2022-12-13,9:23:17.370,7455,-5.9000635,8.117678,2.2026424,
2022-12-13,9:23:17.562,7647,-5.385036,7.737396,1.7894225,
2022-12-13,9:23:17.767,7852,-5.612007,7.29004,0.9563948,
2022-12-13,9:23:17.970,8055,-6.445035,7.498447,1.3109256,
2022-12-13,9:23:18.171,8257,-6.031216,7.598458,1.2654115,
2022-12-13,9:23:18.411,8497,-6.3096905,7.4397573,1.153423,
2022-12-13,9:23:18.595,8680,-6.284538,7.4840736,1.1228806,
2022-12-13,9:23:18.795,8880,-6.184527,7.397238,1.1689935,
2022-12-13,9:23:19.12,9097,-6.3905377,7.4164014,1.1797732,
